model,fold,train_r2,cv_r2,train_rmse,cv_rmse,train_mae,cv_mae
Ridge Regression,1,0.993,0.993,0.549,0.558,0.378,0.383
Ridge Regression,2,0.993,0.993,0.552,0.546,0.38,0.38
Ridge Regression,3,0.993,0.993,0.552,0.546,0.38,0.379
Ridge Regression,4,0.993,0.993,0.549,0.559,0.379,0.38
Ridge Regression,5,0.993,0.993,0.551,0.548,0.38,0.377
Elastic Net,1,0.989,0.989,0.685,0.694,0.498,0.501
Elastic Net,2,0.989,0.989,0.688,0.674,0.5,0.492
Elastic Net,3,0.989,0.989,0.688,0.678,0.499,0.495
Elastic Net,4,0.989,0.989,0.684,0.708,0.498,0.51
Elastic Net,5,0.989,0.989,0.687,0.682,0.499,0.497
Random Forest,1,0.727,0.716,3.451,3.523,2.742,2.802
Random Forest,2,0.727,0.715,3.457,3.506,2.752,2.792
Random Forest,3,0.726,0.718,3.46,3.501,2.752,2.787
Random Forest,4,0.728,0.727,3.439,3.477,2.735,2.76
Random Forest,5,0.726,0.72,3.456,3.507,2.748,2.782
