model,fold,train_r2,cv_r2,train_rmse,cv_rmse,train_mae,cv_mae
Ridge Regression,1,0.926,0.926,1.803,1.803,1.463,1.465
Ridge Regression,2,0.926,0.924,1.802,1.808,1.463,1.465
Ridge Regression,3,0.926,0.925,1.803,1.806,1.463,1.466
Ridge Regression,4,0.925,0.926,1.802,1.807,1.463,1.467
Ridge Regression,5,0.925,0.926,1.805,1.797,1.465,1.459
Elastic Net,1,0.922,0.922,1.848,1.85,1.5,1.5
Elastic Net,2,0.922,0.921,1.847,1.848,1.499,1.497
Elastic Net,3,0.922,0.922,1.847,1.847,1.498,1.501
Elastic Net,4,0.922,0.922,1.846,1.856,1.497,1.506
Elastic Net,5,0.922,0.923,1.849,1.839,1.5,1.493
Random Forest,1,0.721,0.709,3.492,3.569,2.777,2.836
Random Forest,2,0.722,0.71,3.495,3.535,2.783,2.812
Random Forest,3,0.719,0.709,3.505,3.562,2.787,2.847
Random Forest,4,0.72,0.718,3.491,3.53,2.779,2.805
Random Forest,5,0.719,0.712,3.5,3.554,2.787,2.815
