feature,importance,coefficient
recruiter_response_rate,6.4930021795343285,6.4930021795343285
avg_tenure_months,6.0796611864676695,6.0796611864676695
total_endorsements,5.093949043006812,5.093949043006812
salary_mid,4.449159162159164,4.449159162159164
open_to_work_flag,4.253617543381684,4.253617543381684
company_size_enc,4.0817700226526625,4.0817700226526625
endorsement_per_skill,3.659722797701545,3.659722797701545
avg_skill_duration_months,3.5594839518113437,3.5594839518113437
applications_submitted_30d,3.1142121813337127,3.1142121813337127
years_of_experience,2.8512889871958746,2.8512889871958746
offer_acceptance_rate,2.6744936654629625,2.6744936654629625
skill_versatility,2.638439864275512,2.638439864275512
willing_to_relocate,2.637045155821455,2.637045155821455
edu_tier_enc,2.4470807793896747,2.4470807793896747
github_active,2.11297584309025,2.11297584309025
num_jobs,2.039550922215911,2.039550922215911
verified_email,1.954090944573543,1.954090944573543
connection_count,1.9168955097485085,1.9168955097485085
interview_completion_rate,1.8417253484562113,1.8417253484562113
avg_assessment_score,1.7654644240578743,1.7654644240578743
profile_completeness_score,1.6208725562320196,1.6208725562320196
profile_views_received_30d,1.3823340495829992,1.3823340495829992
linkedin_connected,1.0802535806010494,1.0802535806010494
num_skills,0.9569525012792548,0.9569525012792548
verified_phone,0.9141737832196603,0.9141737832196603
days_since_active,0.8899610713390599,-0.8899610713390599
advanced_skills,0.8720590960868551,0.8720590960868551
github_activity_score,0.8072931055033793,0.8072931055033793
num_certifications,0.7759969757905871,-0.7759969757905871
work_mode_enc,0.31522730243004193,0.31522730243004193
seniority_ratio,0.0434876201703889,-0.0434876201703889
